n,iterative_ms,recursive_ms,note,total_iter,total_rec
1,0.000035,0.000025,,1,1
10,0.000065,0.000050,,55,55
20,0.000080,0.000065,,210,210
30,0.000100,0.000085,,465,465
40,0.000115,0.000120,,820,820
50,0.000105,0.000125,,1275,1275
60,0.000175,0.000170,,1830,1830
70,0.000185,0.000185,,2485,2485
80,0.000200,0.000200,,3240,3240
90,0.000215,0.000235,,4095,4095
100,0.000265,0.000265,,5050,5050
150,0.000375,0.000390,,11325,11325
200,0.000455,0.000490,,20100,20100
250,0.000605,0.000605,,31375,31375
300,0.000710,0.000715,,45150,45150
350,0.000825,0.000820,,61425,61425
400,0.000930,0.000930,,80200,80200
450,0.001030,0.001075,,101475,101475
500,0.001155,0.001160,,125250,125250
550,0.001320,0.001825,,151525,151525
600,0.001370,0.001430,,180300,180300
650,0.001485,0.001715,,211575,211575
700,0.001585,0.002095,,245350,245350
750,0.004175,0.001780,,281625,281625
800,0.001740,0.001915,,320400,320400
850,0.002040,0.002075,,361675,361675
900,0.001945,0.005095,,405450,405450
950,0.002085,0.002475,,451725,451725
1000,0.002315,0.003270,,500500,500500
2000,0.004395,0.005400,,2001000,2001000
3000,0.006230,0.007945,,4501500,4501500
4000,0.008780,0.010780,,8002000,8002000
5000,0.011645,0.013280,,12502500,12502500
6000,0.013210,0.016765,,18003000,18003000
7000,0.015110,0.018235,,24503500,24503500
8000,0.018360,0.021510,,32004000,32004000
9000,0.018905,0.037480,,40504500,40504500
10000,0.022425,0.032235,,50005000,50005000
